"Step","deep-planet-14 - ce_loss","deep-planet-14 - ce_loss__MIN","deep-planet-14 - ce_loss__MAX"
"6240","1.921875","1.921875","1.921875"
"6250","1.40625","1.40625","1.40625"
"6260","2.265625","2.265625","2.265625"
"6270","2.375","2.375","2.375"
"6280","2.078125","2.078125","2.078125"
"6290","2.484375","2.484375","2.484375"
"6300","2.03125","2.03125","2.03125"
"6310","1.6640625","1.6640625","1.6640625"
"6320","2.28125","2.28125","2.28125"
"6330","1.296875","1.296875","1.296875"
"6340","2.171875","2.171875","2.171875"
"6350","2.25","2.25","2.25"
"6360","2.5625","2.5625","2.5625"
"6370","1.46875","1.46875","1.46875"
"6380","2.40625","2.40625","2.40625"
"6390","2.5","2.5","2.5"
"6400","2.484375","2.484375","2.484375"
"6410","2.3125","2.3125","2.3125"
"6420","1.4296875","1.4296875","1.4296875"
"6430","1.6328125","1.6328125","1.6328125"
"6440","2.5625","2.5625","2.5625"
"6450","2.25","2.25","2.25"
"6460","3.078125","3.078125","3.078125"
"6470","3.28125","3.28125","3.28125"
"6480","1.1875","1.1875","1.1875"
"6490","3.03125","3.03125","3.03125"
"6500","1.4609375","1.4609375","1.4609375"
"6510","1.1484375","1.1484375","1.1484375"
"6520","1.1171875","1.1171875","1.1171875"
"6530","1.421875","1.421875","1.421875"
"6540","2.421875","2.421875","2.421875"
"6550","2.546875","2.546875","2.546875"
"6560","2.5","2.5","2.5"
"6570","0.921875","0.921875","0.921875"
"6580","3.25","3.25","3.25"
"6590","1.1328125","1.1328125","1.1328125"
"6600","2.609375","2.609375","2.609375"
"6610","3.234375","3.234375","3.234375"
"6620","3.828125","3.828125","3.828125"
"6630","3.09375","3.09375","3.09375"
"6640","1.1171875","1.1171875","1.1171875"
"6650","1.1640625","1.1640625","1.1640625"
"6660","2.734375","2.734375","2.734375"
"6670","3.265625","3.265625","3.265625"
"6680","1.3671875","1.3671875","1.3671875"
"6690","2.6875","2.6875","2.6875"
"6700","2.015625","2.015625","2.015625"
"6710","1.0546875","1.0546875","1.0546875"
"6720","1.0703125","1.0703125","1.0703125"
"6730","2.25","2.25","2.25"
"6740","2.625","2.625","2.625"
"6750","1.34375","1.34375","1.34375"
"6760","2.109375","2.109375","2.109375"
"6770","3.109375","3.109375","3.109375"
"6780","0.90234375","0.90234375","0.90234375"
"6790","2.625","2.625","2.625"
"6800","2.828125","2.828125","2.828125"
"6810","3.390625","3.390625","3.390625"
"6820","0.984375","0.984375","0.984375"
"6830","1.5703125","1.5703125","1.5703125"
"6840","1.6640625","1.6640625","1.6640625"
"6850","1.0859375","1.0859375","1.0859375"
"6860","2.84375","2.84375","2.84375"
"6870","1.4609375","1.4609375","1.4609375"
"6880","1.484375","1.484375","1.484375"
"6890","1.0546875","1.0546875","1.0546875"
"6900","1.4921875","1.4921875","1.4921875"
"6910","2.109375","2.109375","2.109375"
"6920","2.84375","2.84375","2.84375"
"6930","2.84375","2.84375","2.84375"
"6940","2.5","2.5","2.5"
"6950","2.1875","2.1875","2.1875"
"6960","2.859375","2.859375","2.859375"
"6970","2.546875","2.546875","2.546875"
