"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"8520","310","310","310"
"8530","330","330","330"
"8540","344","344","344"
"8550","312","312","312"
"8560","304","304","304"
"8570","304","304","304"
"8580","318","318","318"
"8590","322","322","322"
"8600","340","340","340"
"8610","316","316","316"
"8620","288","288","288"
"8630","330","330","330"
"8640","354","354","354"
"8650","296","296","296"
"8660","320","320","320"
"8670","362","362","362"
"8680","312","312","312"
"8690","350","350","350"
"8700","354","354","354"
"8710","328","328","328"
"8720","294","294","294"
"8730","270","270","270"
"8740","344","344","344"
"8750","340","340","340"
"8760","318","318","318"
"8770","342","342","342"
"8780","354","354","354"
"8790","342","342","342"
"8800","276","276","276"
"8810","276","276","276"
"8820","318","318","318"
"8830","330","330","330"
"8840","312","312","312"
"8850","320","320","320"
"8860","346","346","346"
"8870","332","332","332"
"8880","332","332","332"
"8890","322","322","322"
"8900","350","350","350"
"8910","358","358","358"
"8920","346","346","346"
"8930","342","342","342"
"8940","346","346","346"
"8950","354","354","354"
"8960","298","298","298"
"8970","334","334","334"
"8980","288","288","288"
"8990","344","344","344"
"9000","322","322","322"
"9010","262","262","262"
"9020","272","272","272"
"9030","296","296","296"
"9040","322","322","322"
"9050","338","338","338"
"9060","342","342","342"
"9070","330","330","330"
"9080","338","338","338"
"9090","360","360","360"
"9100","324","324","324"
"9110","288","288","288"
"9120","310","310","310"
"9130","316","316","316"
"9140","314","314","314"
"9150","292","292","292"
"9160","322","322","322"
"9170","350","350","350"
"9180","322","322","322"
"9190","340","340","340"
"9200","334","334","334"
"9210","322","322","322"
"9220","348","348","348"
"9230","354","354","354"
"9240","326","326","326"
"9250","304","304","304"
"9260","316","316","316"
"9270","342","342","342"
"9280","328","328","328"
"9290","318","318","318"
"9300","314","314","314"
"9310","324","324","324"
"9320","358","358","358"
"9330","334","334","334"
"9340","320","320","320"
"9350","282","282","282"
"9360","320","320","320"
"9370","344","344","344"
"9380","350","350","350"
"9390","322","322","322"
"9400","352","352","352"
"9410","306","306","306"
"9420","356","356","356"
"9430","322","322","322"
"9440","320","320","320"
"9450","296","296","296"
"9460","322","322","322"
"9470","328","328","328"
"9480","302","302","302"
"9490","330","330","330"
"9500","252","252","252"
"9510","346","346","346"
"9520","344","344","344"
"9530","348","348","348"
"9540","346","346","346"
"9550","340","340","340"
"9560","310","310","310"
"9570","290","290","290"
"9580","342","342","342"
"9590","308","308","308"
"9600","348","348","348"
"9610","344","344","344"
"9620","364","364","364"
"9630","334","334","334"
"9640","360","360","360"
"9650","304","304","304"
"9660","330","330","330"
"9670","306","306","306"
"9680","320","320","320"
"9690","310","310","310"
"9700","260","260","260"
"9710","320","320","320"
"9720","320","320","320"
"9730","312","312","312"
"9740","330","330","330"
"9750","318","318","318"
"9760","358","358","358"
"9770","356","356","356"
"9780","324","324","324"
"9790","270","270","270"
"9800","302","302","302"
"9810","354","354","354"
"9820","326","326","326"
"9830","332","332","332"
"9840","276","276","276"
"9850","322","322","322"
"9860","310","310","310"
"9870","366","366","366"
"9880","318","318","318"
"9890","292","292","292"
"9900","342","342","342"
"9910","344","344","344"
"9920","320","320","320"
"9930","328","328","328"
"9940","256","256","256"
"9950","358","358","358"
"9960","312","312","312"
"9970","360","360","360"
"9980","308","308","308"
"9990","338","338","338"
"10000","348","348","348"
"10010","350","350","350"
"10020","336","336","336"
"10030","318","318","318"
"10040","336","336","336"
"10050","306","306","306"
"10060","366","366","366"
"10070","364","364","364"
"10080","304","304","304"
"10090","334","334","334"
"10100","368","368","368"
"10110","344","344","344"
"10120","322","322","322"
"10130","340","340","340"
"10140","312","312","312"
"10150","320","320","320"
"10160","336","336","336"
"10170","356","356","356"
"10180","362","362","362"
"10190","342","342","342"
"10200","334","334","334"
"10210","344","344","344"
"10220","332","332","332"
"10230","384","384","384"
"10240","334","334","334"
"10250","342","342","342"
"10260","354","354","354"
"10270","348","348","348"
"10280","298","298","298"
"10290","330","330","330"
"10300","324","324","324"
"10310","326","326","326"
"10320","292","292","292"
"10330","260","260","260"
"10340","280","280","280"
"10350","280","280","280"
"10360","316","316","316"
"10370","334","334","334"
"10380","334","334","334"
"10390","322","322","322"
"10400","330","330","330"
"10410","318","318","318"
"10420","314","314","314"
"10430","336","336","336"
"10440","314","314","314"
"10450","306","306","306"
"10460","300","300","300"
"10470","276","276","276"
"10480","338","338","338"
"10490","310","310","310"
"10500","318","318","318"
"10510","322","322","322"
"10520","324","324","324"
"10530","314","314","314"
"10540","324","324","324"
"10550","356","356","356"
"10560","346","346","346"
"10570","326","326","326"
"10580","310","310","310"
"10590","310","310","310"
"10600","288","288","288"
"10610","328","328","328"
"10620","330","330","330"
"10630","260","260","260"
"10640","314","314","314"
"10650","350","350","350"
"10660","344","344","344"
"10670","336","336","336"
"10680","344","344","344"
"10690","320","320","320"
"10700","318","318","318"
"10710","276","276","276"
"10720","362","362","362"
"10730","286","286","286"
"10740","316","316","316"
"10750","306","306","306"
"10760","344","344","344"
"10770","304","304","304"
"10780","300","300","300"
"10790","344","344","344"
"10800","282","282","282"
"10810","332","332","332"
"10820","344","344","344"
"10830","346","346","346"
"10840","332","332","332"
"10850","296","296","296"
"10860","286","286","286"
"10870","324","324","324"
"10880","376","376","376"
"10890","370","370","370"
"10900","318","318","318"
"10910","324","324","324"
"10920","328","328","328"
"10930","322","322","322"
"10940","290","290","290"
"10950","320","320","320"
"10960","352","352","352"
"10970","322","322","322"
"10980","336","336","336"
"10990","272","272","272"
"11000","298","298","298"
"11010","314","314","314"
"11020","308","308","308"
"11030","328","328","328"
