"Step","deep-planet-14 - cov_loss","deep-planet-14 - cov_loss__MIN","deep-planet-14 - cov_loss__MAX"
"4880","2.421875","2.421875","2.421875"
"4890","2.671875","2.671875","2.671875"
"4900","2.71875","2.71875","2.71875"
"4910","2.71875","2.71875","2.71875"
"4920","3.109375","3.109375","3.109375"
"4930","2.65625","2.65625","2.65625"
"4940","2.3125","2.3125","2.3125"
"4950","2.6875","2.6875","2.6875"
"4960","2.9375","2.9375","2.9375"
"4970","2.375","2.375","2.375"
"4980","2.5625","2.5625","2.5625"
"4990","2.4375","2.4375","2.4375"
"5000","2.6875","2.6875","2.6875"
"5010","2.421875","2.421875","2.421875"
"5020","2.609375","2.609375","2.609375"
"5030","2.5","2.5","2.5"
"5040","2.328125","2.328125","2.328125"
"5050","2.390625","2.390625","2.390625"
"5060","2.296875","2.296875","2.296875"
"5070","2.28125","2.28125","2.28125"
"5080","2.515625","2.515625","2.515625"
"5090","2.796875","2.796875","2.796875"
"5100","3","3","3"
"5110","2.46875","2.46875","2.46875"
"5120","2.4375","2.4375","2.4375"
"5130","2.453125","2.453125","2.453125"
"5140","3.015625","3.015625","3.015625"
"5150","2.578125","2.578125","2.578125"
"5160","2.5625","2.5625","2.5625"
"5170","2.78125","2.78125","2.78125"
"5180","2.625","2.625","2.625"
"5190","2.046875","2.046875","2.046875"
"5200","2.53125","2.53125","2.53125"
"5210","3.09375","3.09375","3.09375"
"5220","2.71875","2.71875","2.71875"
"5230","2.265625","2.265625","2.265625"
"5240","2.234375","2.234375","2.234375"
"5250","2.34375","2.34375","2.34375"
"5260","2.609375","2.609375","2.609375"
"5270","2.359375","2.359375","2.359375"
"5280","2.5625","2.5625","2.5625"
"5290","2.40625","2.40625","2.40625"
"5300","2.265625","2.265625","2.265625"
"5310","2.578125","2.578125","2.578125"
"5320","2.421875","2.421875","2.421875"
"5330","2.71875","2.71875","2.71875"
"5340","2.25","2.25","2.25"
"5350","2.421875","2.421875","2.421875"
"5360","2.671875","2.671875","2.671875"
"5370","2.65625","2.65625","2.65625"
"5380","2.34375","2.34375","2.34375"
"5390","2.21875","2.21875","2.21875"
"5400","2.40625","2.40625","2.40625"
"5410","2.390625","2.390625","2.390625"
"5420","2.5","2.5","2.5"
"5430","3.03125","3.03125","3.03125"
"5440","2.5625","2.5625","2.5625"
"5450","2.46875","2.46875","2.46875"
"5460","2.8125","2.8125","2.8125"
"5470","2.375","2.375","2.375"
"5480","3.171875","3.171875","3.171875"
"5490","2.328125","2.328125","2.328125"
"5500","2.28125","2.28125","2.28125"
"5510","2.75","2.75","2.75"
"5520","2.125","2.125","2.125"
"5530","2.15625","2.15625","2.15625"
"5540","2.15625","2.15625","2.15625"
"5550","2.171875","2.171875","2.171875"
"5560","2.25","2.25","2.25"
"5570","2.453125","2.453125","2.453125"
"5580","2.046875","2.046875","2.046875"
"5590","2.53125","2.53125","2.53125"
"5600","2.53125","2.53125","2.53125"
"5610","2.015625","2.015625","2.015625"
"5620","2.53125","2.53125","2.53125"
"5630","2.15625","2.15625","2.15625"
"5640","2.640625","2.640625","2.640625"
"5650","2.40625","2.40625","2.40625"
"5660","2.46875","2.46875","2.46875"
"5670","2.390625","2.390625","2.390625"
"5680","2.3125","2.3125","2.3125"
"5690","2.46875","2.46875","2.46875"
"5700","2.3125","2.3125","2.3125"
"5710","2.59375","2.59375","2.59375"
"5720","2.328125","2.328125","2.328125"
"5730","2.171875","2.171875","2.171875"
"5740","2.4375","2.4375","2.4375"
"5750","2.046875","2.046875","2.046875"
"5760","2.203125","2.203125","2.203125"
"5770","2.15625","2.15625","2.15625"
"5780","2.53125","2.53125","2.53125"
"5790","1.9765625","1.9765625","1.9765625"
"5800","2.40625","2.40625","2.40625"
"5810","2.328125","2.328125","2.328125"
"5820","2.84375","2.84375","2.84375"
"5830","2.25","2.25","2.25"
"5840","2.71875","2.71875","2.71875"
"5850","2.875","2.875","2.875"
"5860","2.546875","2.546875","2.546875"
"5870","2.296875","2.296875","2.296875"
"5880","2.09375","2.09375","2.09375"
"5890","2.203125","2.203125","2.203125"
"5900","2.5625","2.5625","2.5625"
"5910","2.359375","2.359375","2.359375"
"5920","2.890625","2.890625","2.890625"
"5930","2.453125","2.453125","2.453125"
"5940","2.4375","2.4375","2.4375"
"5950","2.0625","2.0625","2.0625"
"5960","3.0625","3.0625","3.0625"
"5970","2.234375","2.234375","2.234375"
"5980","1.9765625","1.9765625","1.9765625"
"5990","2.28125","2.28125","2.28125"
"6000","2.75","2.75","2.75"
"6010","2.640625","2.640625","2.640625"
"6020","2.125","2.125","2.125"
"6030","2.296875","2.296875","2.296875"
"6040","2.640625","2.640625","2.640625"
"6050","2.578125","2.578125","2.578125"
"6060","3.015625","3.015625","3.015625"
"6070","2.484375","2.484375","2.484375"
"6080","2.53125","2.53125","2.53125"
"6090","2.0625","2.0625","2.0625"
"6100","2.375","2.375","2.375"
"6110","2.203125","2.203125","2.203125"
"6120","2.515625","2.515625","2.515625"
"6130","2.484375","2.484375","2.484375"
"6140","2.234375","2.234375","2.234375"
"6150","1.984375","1.984375","1.984375"
"6160","1.953125","1.953125","1.953125"
"6170","2.296875","2.296875","2.296875"
"6180","2.21875","2.21875","2.21875"
"6190","2.1875","2.1875","2.1875"
"6200","2.375","2.375","2.375"
"6210","2.4375","2.4375","2.4375"
"6220","2.5625","2.5625","2.5625"
"6230","2.203125","2.203125","2.203125"
"6240","2.390625","2.390625","2.390625"
"6250","2.1875","2.1875","2.1875"
"6260","2.140625","2.140625","2.140625"
"6270","2.203125","2.203125","2.203125"
"6280","2.140625","2.140625","2.140625"
"6290","2","2","2"
"6300","2.03125","2.03125","2.03125"
"6310","2.375","2.375","2.375"
"6320","2.421875","2.421875","2.421875"
"6330","2.28125","2.28125","2.28125"
"6340","2.328125","2.328125","2.328125"
"6350","2.21875","2.21875","2.21875"
"6360","1.8828125","1.8828125","1.8828125"
"6370","2.921875","2.921875","2.921875"
"6380","2.203125","2.203125","2.203125"
"6390","2.3125","2.3125","2.3125"
"6400","2.109375","2.109375","2.109375"
"6410","2.109375","2.109375","2.109375"
"6420","2.46875","2.46875","2.46875"
"6430","2.78125","2.78125","2.78125"
"6440","2.265625","2.265625","2.265625"
"6450","2.25","2.25","2.25"
"6460","2.375","2.375","2.375"
"6470","2.265625","2.265625","2.265625"
"6480","2.359375","2.359375","2.359375"
"6490","2.4375","2.4375","2.4375"
"6500","2.484375","2.484375","2.484375"
"6510","2.1875","2.1875","2.1875"
"6520","2.390625","2.390625","2.390625"
"6530","2.078125","2.078125","2.078125"
"6540","2.109375","2.109375","2.109375"
"6550","1.8828125","1.8828125","1.8828125"
"6560","2.03125","2.03125","2.03125"
"6570","2.53125","2.53125","2.53125"
"6580","2.25","2.25","2.25"
"6590","2.234375","2.234375","2.234375"
"6600","2.65625","2.65625","2.65625"
"6610","2.59375","2.59375","2.59375"
"6620","2.25","2.25","2.25"
"6630","2.765625","2.765625","2.765625"
"6640","2.359375","2.359375","2.359375"
"6650","2.21875","2.21875","2.21875"
"6660","2.34375","2.34375","2.34375"
"6670","1.984375","1.984375","1.984375"
"6680","2.203125","2.203125","2.203125"
"6690","2.171875","2.171875","2.171875"
"6700","2.171875","2.171875","2.171875"
"6710","2.328125","2.328125","2.328125"
"6720","2.28125","2.28125","2.28125"
"6730","2.078125","2.078125","2.078125"
"6740","2.203125","2.203125","2.203125"
"6750","2.375","2.375","2.375"
"6760","2.3125","2.3125","2.3125"
"6770","2.125","2.125","2.125"
"6780","2.78125","2.78125","2.78125"
"6790","2.109375","2.109375","2.109375"
"6800","2.125","2.125","2.125"
"6810","2.828125","2.828125","2.828125"
"6820","2.765625","2.765625","2.765625"
"6830","2.390625","2.390625","2.390625"
"6840","2.296875","2.296875","2.296875"
"6850","2.21875","2.21875","2.21875"
"6860","2.34375","2.34375","2.34375"
"6870","2.46875","2.46875","2.46875"
