"Step","deep-planet-14 - contrastive_loss","deep-planet-14 - contrastive_loss__MIN","deep-planet-14 - contrastive_loss__MAX"
"5440","4.59375","4.59375","4.59375"
"5450","4.59375","4.59375","4.59375"
"5460","4.59375","4.59375","4.59375"
"5470","4.59375","4.59375","4.59375"
"5480","4.625","4.625","4.625"
"5490","4.59375","4.59375","4.59375"
"5500","4.59375","4.59375","4.59375"
"5510","4.625","4.625","4.625"
"5520","4.59375","4.59375","4.59375"
"5530","4.59375","4.59375","4.59375"
"5540","4.59375","4.59375","4.59375"
"5550","4.5625","4.5625","4.5625"
"5560","4.59375","4.59375","4.59375"
"5570","4.59375","4.59375","4.59375"
"5580","4.59375","4.59375","4.59375"
"5590","4.59375","4.59375","4.59375"
"5600","4.625","4.625","4.625"
"5610","4.5625","4.5625","4.5625"
"5620","4.5625","4.5625","4.5625"
"5630","4.59375","4.59375","4.59375"
"5640","4.59375","4.59375","4.59375"
"5650","4.625","4.625","4.625"
"5660","4.5625","4.5625","4.5625"
"5670","4.59375","4.59375","4.59375"
"5680","4.59375","4.59375","4.59375"
"5690","4.59375","4.59375","4.59375"
"5700","4.5625","4.5625","4.5625"
"5710","4.59375","4.59375","4.59375"
"5720","4.59375","4.59375","4.59375"
"5730","4.59375","4.59375","4.59375"
"5740","4.59375","4.59375","4.59375"
"5750","4.5625","4.5625","4.5625"
"5760","4.5625","4.5625","4.5625"
"5770","4.59375","4.59375","4.59375"
"5780","4.625","4.625","4.625"
"5790","4.59375","4.59375","4.59375"
"5800","4.59375","4.59375","4.59375"
"5810","4.59375","4.59375","4.59375"
"5820","4.625","4.625","4.625"
"5830","4.59375","4.59375","4.59375"
"5840","4.59375","4.59375","4.59375"
"5850","4.625","4.625","4.625"
"5860","4.59375","4.59375","4.59375"
"5870","4.5625","4.5625","4.5625"
"5880","4.59375","4.59375","4.59375"
"5890","4.5625","4.5625","4.5625"
"5900","4.59375","4.59375","4.59375"
"5910","4.59375","4.59375","4.59375"
"5920","4.59375","4.59375","4.59375"
"5930","4.59375","4.59375","4.59375"
"5940","4.59375","4.59375","4.59375"
"5950","4.59375","4.59375","4.59375"
"5960","4.65625","4.65625","4.65625"
"5970","4.59375","4.59375","4.59375"
"5980","4.59375","4.59375","4.59375"
"5990","4.59375","4.59375","4.59375"
"6000","4.625","4.625","4.625"
"6010","4.625","4.625","4.625"
"6020","4.59375","4.59375","4.59375"
"6030","4.59375","4.59375","4.59375"
"6040","4.59375","4.59375","4.59375"
"6050","4.59375","4.59375","4.59375"
"6060","4.65625","4.65625","4.65625"
"6070","4.59375","4.59375","4.59375"
"6080","4.59375","4.59375","4.59375"
"6090","4.5625","4.5625","4.5625"
"6100","4.59375","4.59375","4.59375"
"6110","4.59375","4.59375","4.59375"
"6120","4.59375","4.59375","4.59375"
"6130","4.59375","4.59375","4.59375"
"6140","4.59375","4.59375","4.59375"
"6150","4.59375","4.59375","4.59375"
"6160","4.5625","4.5625","4.5625"
"6170","4.5625","4.5625","4.5625"
"6180","4.59375","4.59375","4.59375"
"6190","4.59375","4.59375","4.59375"
"6200","4.59375","4.59375","4.59375"
"6210","4.59375","4.59375","4.59375"
"6220","4.625","4.625","4.625"
"6230","4.59375","4.59375","4.59375"
"6240","4.59375","4.59375","4.59375"
"6250","4.59375","4.59375","4.59375"
"6260","4.59375","4.59375","4.59375"
"6270","4.5625","4.5625","4.5625"
"6280","4.59375","4.59375","4.59375"
"6290","4.5625","4.5625","4.5625"
"6300","4.59375","4.59375","4.59375"
"6310","4.59375","4.59375","4.59375"
"6320","4.59375","4.59375","4.59375"
"6330","4.59375","4.59375","4.59375"
"6340","4.5625","4.5625","4.5625"
"6350","4.5625","4.5625","4.5625"
"6360","4.59375","4.59375","4.59375"
"6370","4.625","4.625","4.625"
"6380","4.59375","4.59375","4.59375"
"6390","4.59375","4.59375","4.59375"
"6400","4.5625","4.5625","4.5625"
"6410","4.5625","4.5625","4.5625"
"6420","4.5625","4.5625","4.5625"
"6430","4.625","4.625","4.625"
"6440","4.59375","4.59375","4.59375"
"6450","4.59375","4.59375","4.59375"
"6460","4.59375","4.59375","4.59375"
"6470","4.59375","4.59375","4.59375"
"6480","4.59375","4.59375","4.59375"
"6490","4.59375","4.59375","4.59375"
"6500","4.59375","4.59375","4.59375"
"6510","4.59375","4.59375","4.59375"
"6520","4.59375","4.59375","4.59375"
"6530","4.59375","4.59375","4.59375"
"6540","4.5625","4.5625","4.5625"
"6550","4.5625","4.5625","4.5625"
"6560","4.59375","4.59375","4.59375"
"6570","4.59375","4.59375","4.59375"
"6580","4.59375","4.59375","4.59375"
"6590","4.59375","4.59375","4.59375"
"6600","4.59375","4.59375","4.59375"
"6610","4.625","4.625","4.625"
"6620","4.59375","4.59375","4.59375"
"6630","4.625","4.625","4.625"
"6640","4.59375","4.59375","4.59375"
"6650","4.59375","4.59375","4.59375"
"6660","4.59375","4.59375","4.59375"
"6670","4.59375","4.59375","4.59375"
"6680","4.59375","4.59375","4.59375"
"6690","4.625","4.625","4.625"
"6700","4.59375","4.59375","4.59375"
"6710","4.59375","4.59375","4.59375"
"6720","4.59375","4.59375","4.59375"
"6730","4.5625","4.5625","4.5625"
"6740","4.59375","4.59375","4.59375"
"6750","4.59375","4.59375","4.59375"
"6760","4.5625","4.5625","4.5625"
"6770","4.59375","4.59375","4.59375"
"6780","4.59375","4.59375","4.59375"
"6790","4.59375","4.59375","4.59375"
"6800","4.59375","4.59375","4.59375"
"6810","4.59375","4.59375","4.59375"
"6820","4.59375","4.59375","4.59375"
"6830","4.59375","4.59375","4.59375"
"6840","4.59375","4.59375","4.59375"
"6850","4.59375","4.59375","4.59375"
"6860","4.59375","4.59375","4.59375"
"6870","4.59375","4.59375","4.59375"
"6880","4.59375","4.59375","4.59375"
"6890","4.59375","4.59375","4.59375"
"6900","4.59375","4.59375","4.59375"
"6910","4.59375","4.59375","4.59375"
"6920","4.59375","4.59375","4.59375"
"6930","4.59375","4.59375","4.59375"
"6940","4.5625","4.5625","4.5625"
"6950","4.59375","4.59375","4.59375"
"6960","4.59375","4.59375","4.59375"
"6970","4.5625","4.5625","4.5625"
"6980","4.59375","4.59375","4.59375"
"6990","4.59375","4.59375","4.59375"
"7000","4.5625","4.5625","4.5625"
"7010","4.59375","4.59375","4.59375"
"7020","4.59375","4.59375","4.59375"
"7030","4.59375","4.59375","4.59375"
"7040","4.59375","4.59375","4.59375"
"7050","4.625","4.625","4.625"
"7060","4.59375","4.59375","4.59375"
