"Step","tpu-v4-spmd-resumed-18000 - train/loss","tpu-v4-spmd-resumed-18000 - train/loss__MIN","tpu-v4-spmd-resumed-18000 - train/loss__MAX"
"27820","10.4375","10.4375","10.4375"
"27840","10","10","10"
"27860","6.875","6.875","6.875"
"27880","10.375","10.375","10.375"
"27900","7.40625","7.40625","7.40625"
"27920","8.6875","8.6875","8.6875"
"27940","9.5","9.5","9.5"
"27960","8.375","8.375","8.375"
"27980","6.6875","6.6875","6.6875"
"28000","7.71875","7.71875","7.71875"
"28020","7.5","7.5","7.5"
"28040","7.25","7.25","7.25"
"28060","10","10","10"
"28080","8.25","8.25","8.25"
"28100","6.90625","6.90625","6.90625"
"28120","7.125","7.125","7.125"
"28140","15.875","15.875","15.875"
"28160","8.5625","8.5625","8.5625"
"28180","9.0625","9.0625","9.0625"
"28200","10.0625","10.0625","10.0625"
"28220","7.9375","7.9375","7.9375"
"28240","8.875","8.875","8.875"
"28260","11.1875","11.1875","11.1875"
"28280","13.375","13.375","13.375"
"28300","7.09375","7.09375","7.09375"
"28320","9.4375","9.4375","9.4375"
"28340","7.25","7.25","7.25"
"28360","9.25","9.25","9.25"
"28380","7.3125","7.3125","7.3125"
"28400","13","13","13"
"28420","8.25","8.25","8.25"
"28440","8.9375","8.9375","8.9375"
"28460","8.5625","8.5625","8.5625"
"28480","7.84375","7.84375","7.84375"
"28500","8.9375","8.9375","8.9375"
"28520","8.625","8.625","8.625"
"28540","6.8125","6.8125","6.8125"
"28560","8.0625","8.0625","8.0625"
"28580","6.65625","6.65625","6.65625"
"28600","9.0625","9.0625","9.0625"
"28620","7.5","7.5","7.5"
"28640","8.3125","8.3125","8.3125"
"28660","7.03125","7.03125","7.03125"
"28680","8.0625","8.0625","8.0625"
"28700","7.75","7.75","7.75"
"28720","9.625","9.625","9.625"
"28740","7.75","7.75","7.75"
"28760","9.0625","9.0625","9.0625"
"28780","8.9375","8.9375","8.9375"
"28800","6.78125","6.78125","6.78125"
"28820","9.5625","9.5625","9.5625"
"28840","10.0625","10.0625","10.0625"
"28860","7.53125","7.53125","7.53125"
"28880","6.28125","6.28125","6.28125"
"28900","10.5","10.5","10.5"
"28920","7.5625","7.5625","7.5625"
"28940","7.28125","7.28125","7.28125"
"28960","7.84375","7.84375","7.84375"
"28980","7.75","7.75","7.75"
"29000","10.875","10.875","10.875"
"29020","7.5","7.5","7.5"
"29040","8.25","8.25","8.25"
"29060","7.125","7.125","7.125"
"29080","7.25","7.25","7.25"
"29100","6.75","6.75","6.75"
"29120","13.625","13.625","13.625"
"29140","11.5625","11.5625","11.5625"
"29160","7.25","7.25","7.25"
"29180","13.875","13.875","13.875"
"29200","8.375","8.375","8.375"
"29220","6.875","6.875","6.875"
"29240","8.5","8.5","8.5"
"29260","6.875","6.875","6.875"
"29280","7.75","7.75","7.75"
"29300","7.6875","7.6875","7.6875"
"29320","6.65625","6.65625","6.65625"
"29340","7.09375","7.09375","7.09375"
"29360","9.1875","9.1875","9.1875"
"29380","6.71875","6.71875","6.71875"
"29400","8.375","8.375","8.375"
"29420","7.875","7.875","7.875"
"29440","7.25","7.25","7.25"
"29460","8.9375","8.9375","8.9375"
"29480","11.625","11.625","11.625"
"29500","8.5625","8.5625","8.5625"
"29520","7.65625","7.65625","7.65625"
"29540","10.625","10.625","10.625"
"29560","11.5625","11.5625","11.5625"
"29580","8.25","8.25","8.25"
"29600","10.125","10.125","10.125"
"29620","7.09375","7.09375","7.09375"
"29640","6.28125","6.28125","6.28125"
