"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"10660","0.494140625","0.494140625","0.494140625"
"10680","0.5234375","0.5234375","0.5234375"
"10700","0.50390625","0.50390625","0.50390625"
"10720","0.49609375","0.49609375","0.49609375"
"10740","0.5","0.5","0.5"
"10760","0.4765625","0.4765625","0.4765625"
"10780","0.58984375","0.58984375","0.58984375"
"10800","0.484375","0.484375","0.484375"
"10820","0.66015625","0.66015625","0.66015625"
"10840","0.65625","0.65625","0.65625"
"10860","0.50390625","0.50390625","0.50390625"
"10880","0.50390625","0.50390625","0.50390625"
"10900","0.5078125","0.5078125","0.5078125"
"10920","0.66796875","0.66796875","0.66796875"
"10940","0.5546875","0.5546875","0.5546875"
"10960","0.48828125","0.48828125","0.48828125"
"10980","0.427734375","0.427734375","0.427734375"
"11000","0.6171875","0.6171875","0.6171875"
"11020","0.466796875","0.466796875","0.466796875"
"11040","0.455078125","0.455078125","0.455078125"
"11060","0.466796875","0.466796875","0.466796875"
"11080","0.4765625","0.4765625","0.4765625"
"11100","0.4765625","0.4765625","0.4765625"
"11120","0.44140625","0.44140625","0.44140625"
"11140","0.494140625","0.494140625","0.494140625"
"11160","0.453125","0.453125","0.453125"
"11180","0.46875","0.46875","0.46875"
"11200","0.490234375","0.490234375","0.490234375"
"11220","0.6171875","0.6171875","0.6171875"
"11240","0.451171875","0.451171875","0.451171875"
"11260","0.474609375","0.474609375","0.474609375"
"11280","0.46484375","0.46484375","0.46484375"
"11300","0.42578125","0.42578125","0.42578125"
"11320","0.47265625","0.47265625","0.47265625"
"11340","0.408203125","0.408203125","0.408203125"
"11360","0.49609375","0.49609375","0.49609375"
"11380","0.46484375","0.46484375","0.46484375"
"11400","0.498046875","0.498046875","0.498046875"
"11420","0.43359375","0.43359375","0.43359375"
"11440","0.4375","0.4375","0.4375"
"11460","0.55859375","0.55859375","0.55859375"
"11480","0.55078125","0.55078125","0.55078125"
"11500","0.43359375","0.43359375","0.43359375"
"11520","0.4609375","0.4609375","0.4609375"
"11540","0.42578125","0.42578125","0.42578125"
"11560","0.498046875","0.498046875","0.498046875"
"11580","0.453125","0.453125","0.453125"
"11600","0.40625","0.40625","0.40625"
"11620","0.44140625","0.44140625","0.44140625"
"11640","0.42578125","0.42578125","0.42578125"
"11660","0.42578125","0.42578125","0.42578125"
"11680","0.49609375","0.49609375","0.49609375"
"11700","0.68359375","0.68359375","0.68359375"
"11720","0.458984375","0.458984375","0.458984375"
"11740","0.421875","0.421875","0.421875"
"11760","0.42578125","0.42578125","0.42578125"
"11780","0.4296875","0.4296875","0.4296875"
"11800","0.44921875","0.44921875","0.44921875"
"11820","0.45703125","0.45703125","0.45703125"
"11840","0.455078125","0.455078125","0.455078125"
"11860","0.578125","0.578125","0.578125"
"11880","0.453125","0.453125","0.453125"
"11900","0.439453125","0.439453125","0.439453125"
"11920","0.4453125","0.4453125","0.4453125"
"11940","0.45703125","0.45703125","0.45703125"
"11960","0.453125","0.453125","0.453125"
"11980","0.421875","0.421875","0.421875"
"12000","0.4453125","0.4453125","0.4453125"
"12020","0.44921875","0.44921875","0.44921875"
"12040","0.51171875","0.51171875","0.51171875"
