"Step","phase1-awakening - loss","phase1-awakening - loss__MIN","phase1-awakening - loss__MAX"
"413","61.12675476074219","61.12675476074219","61.12675476074219"
"414","32.079368591308594","32.079368591308594","32.079368591308594"
"415","24.110410690307617","24.110410690307617","24.110410690307617"
"416","33.53929138183594","33.53929138183594","33.53929138183594"
"417","29.828174591064453","29.828174591064453","29.828174591064453"
"418","34.39302062988281","34.39302062988281","34.39302062988281"
"419","105.15193176269531","105.15193176269531","105.15193176269531"
"420","34.19815444946289","34.19815444946289","34.19815444946289"
"421","30.174205780029297","30.174205780029297","30.174205780029297"
"422","29.028406143188477","29.028406143188477","29.028406143188477"
"423","32.861053466796875","32.861053466796875","32.861053466796875"
"424","75.81229400634766","75.81229400634766","75.81229400634766"
"425","26.79802131652832","26.79802131652832","26.79802131652832"
"426","29.31129264831543","29.31129264831543","29.31129264831543"
"427","36.51025390625","36.51025390625","36.51025390625"
"428","24.329761505126953","24.329761505126953","24.329761505126953"
"429","60.908912658691406","60.908912658691406","60.908912658691406"
"430","23.4754581451416","23.4754581451416","23.4754581451416"
"431","42.79359817504883","42.79359817504883","42.79359817504883"
"432","29.64383316040039","29.64383316040039","29.64383316040039"
"433","32.90958023071289","32.90958023071289","32.90958023071289"
"434","30.701702117919922","30.701702117919922","30.701702117919922"
"435","65.32132720947266","65.32132720947266","65.32132720947266"
"436","28.779926300048828","28.779926300048828","28.779926300048828"
"437","29.87934684753418","29.87934684753418","29.87934684753418"
"438","26.67737579345703","26.67737579345703","26.67737579345703"
"439","28.240062713623047","28.240062713623047","28.240062713623047"
"440","25.563007354736328","25.563007354736328","25.563007354736328"
"441","48.205848693847656","48.205848693847656","48.205848693847656"
"442","29.68159294128418","29.68159294128418","29.68159294128418"
"443","24.49794578552246","24.49794578552246","24.49794578552246"
"444","26.522235870361328","26.522235870361328","26.522235870361328"
"445","30.56557273864746","30.56557273864746","30.56557273864746"
"446","28.559167861938477","28.559167861938477","28.559167861938477"
"447","30.62329864501953","30.62329864501953","30.62329864501953"
"448","30.40740394592285","30.40740394592285","30.40740394592285"
"449","29.037473678588867","29.037473678588867","29.037473678588867"
"450","26.254098892211914","26.254098892211914","26.254098892211914"
"451","35.12589645385742","35.12589645385742","35.12589645385742"
"452","33.99596405029297","33.99596405029297","33.99596405029297"
"453","40.95292663574219","40.95292663574219","40.95292663574219"
"454","57.03110122680664","57.03110122680664","57.03110122680664"
"455","28.179840087890625","28.179840087890625","28.179840087890625"
"456","28.13488006591797","28.13488006591797","28.13488006591797"
"457","30.17873191833496","30.17873191833496","30.17873191833496"
"458","27.479082107543945","27.479082107543945","27.479082107543945"
"459","24.88787078857422","24.88787078857422","24.88787078857422"
"460","30.426395416259766","30.426395416259766","30.426395416259766"
"461","34.461666107177734","34.461666107177734","34.461666107177734"
"462","33.56487274169922","33.56487274169922","33.56487274169922"
"463","27.812042236328125","27.812042236328125","27.812042236328125"
"464","31.032032012939453","31.032032012939453","31.032032012939453"
"465","25.709266662597656","25.709266662597656","25.709266662597656"
"466","37.54890060424805","37.54890060424805","37.54890060424805"
"467","32.05040740966797","32.05040740966797","32.05040740966797"
"468","27.132678985595703","27.132678985595703","27.132678985595703"
"469","25.0672550201416","25.0672550201416","25.0672550201416"
"470","29.318073272705078","29.318073272705078","29.318073272705078"
"471","47.98971176147461","47.98971176147461","47.98971176147461"
"472","53.28670883178711","53.28670883178711","53.28670883178711"
"473","69.99356842041016","69.99356842041016","69.99356842041016"
"474","29.0455322265625","29.0455322265625","29.0455322265625"
"475","31.080047607421875","31.080047607421875","31.080047607421875"
"476","32.412506103515625","32.412506103515625","32.412506103515625"
"477","28.62105369567871","28.62105369567871","28.62105369567871"
"478","35.50050354003906","35.50050354003906","35.50050354003906"
"479","58.07197952270508","58.07197952270508","58.07197952270508"
"480","30.85352325439453","30.85352325439453","30.85352325439453"
"481","38.364601135253906","38.364601135253906","38.364601135253906"
"482","31.778545379638672","31.778545379638672","31.778545379638672"
"483","31.712194442749023","31.712194442749023","31.712194442749023"
"484","78.4290542602539","78.4290542602539","78.4290542602539"
"485","33.736297607421875","33.736297607421875","33.736297607421875"
"486","46.803550720214844","46.803550720214844","46.803550720214844"
"487","43.14091873168945","43.14091873168945","43.14091873168945"
"488","27.98596954345703","27.98596954345703","27.98596954345703"
"489","32.177459716796875","32.177459716796875","32.177459716796875"
"490","29.243383407592773","29.243383407592773","29.243383407592773"
"491","56.984981536865234","56.984981536865234","56.984981536865234"
"492","28.398845672607422","28.398845672607422","28.398845672607422"
"493","23.918676376342773","23.918676376342773","23.918676376342773"
"494","31.299057006835938","31.299057006835938","31.299057006835938"
"495","30.348665237426758","30.348665237426758","30.348665237426758"
"496","30.269145965576172","30.269145965576172","30.269145965576172"
